count_session,count_hit,totals_newVisits,geoNetwork_latitude,geoNetwork_longitude,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,visitId_threshold,earliest_visit_number,avg_visit_time,days_since_first_visit,visits_per_day,bounce_rate,num_interactions,bounces,time_on_site,transactionRevenue,has_converted
5,93,0,25.2048,55.2708,294,0,58.8,0.0,1.0,5,1616859303,40,11,22,4.043478260869565,0.0,902,0,1880,0,0
6,571,0,25.2048,55.2708,405,0,67.5,0.0,1.0,2,1612982727,30,11,21,25.954545454545453,0.0,1245,0,0,240168686,1
20,2234,0,25.2048,55.2708,12612,0,630.6,0.0,1.0,3,1617239851,1,12,28,77.03448275862068,0.0,2450,0,0,355749261,1
6,297,0,25.2048,55.2708,2904,0,484.0,0.0,1.0,24,1617022321,113,10,27,10.607142857142858,0.0,481,0,225,0,0
15,3361,0,25.2048,55.2708,4013,0,267.53333333333336,0.0,1.0,4,1616920923,1,12,27,120.03571428571428,0.0,4680,0,0,45453926,1
1,35,1,24.4539,54.3773,1390,1390,1390.0,1390.0,0.0,34,1615266050,1,5,0,364.0,0.0,385,0,3424,0,0
13,2422,0,24.4539,54.3773,6897,0,530.5384615384615,0.0,1.0,2,1617114222,12,15,17,134.55555555555554,0.0,17445,0,2804,0,0
2,779,0,25.2048,55.2708,401,0,200.5,0.0,1.0,2,1616965980,40,14,2,259.6666666666667,0.0,1793,0,40150,0,0
60,6777,0,25.2048,55.2708,44246,2745,737.4333333333333,45.75,0.9666666666666666,11,1617270468,1,13,30,218.6129032258065,0.0,17297,0,8945,0,0
22,4629,0,24.4539,54.3773,5808,0,264.0,0.0,1.0,2,1617073750,117,10,28,159.6206896551724,0.0,22259,0,2786,112269959,1
12,1847,0,24.4539,54.3773,12915,8425,1076.25,702.0833333333334,0.4166666666666666,41,1617009717,39,10,27,65.96428571428571,0.0,8364,0,30153,5079358535,0
5,252,0,25.2048,55.2708,183,0,36.6,0.0,1.0,2,1616954596,233,17,24,10.08,0.0,15162,0,2347,511596976,1
4,482,0,25.3463,55.4209,2488,1867,622.0,466.75,0.75,7,1616617082,26,12,26,17.85185185185185,0.0,1846,0,9335,70515475,0
19,2371,0,25.2048,55.2708,7187,5783,378.2631578947368,304.36842105263156,0.631578947368421,2,1617103694,163,11,26,117.4074074074074,0.0,6544,0,17921,0,0
41,1294,0,25.2048,55.2708,5951,322,145.14634146341464,7.853658536585367,0.975609756097561,6,1617199087,238,10,29,43.13333333333333,0.0,2261,0,2547,0,0
10,2551,0,25.2048,55.2708,3104,0,310.4,0.0,1.0,3,1617305287,150,16,28,87.96551724137932,0.0,10159,0,401,38464522,1
33,4828,0,25.8007,55.9762,6725,0,203.7878787878788,0.0,1.0,2,1617194198,1,12,29,160.93333333333334,0.0,15215,0,3056,60662410,1
4,605,0,25.2048,55.2708,2601,0,650.25,0.0,1.0,6,1617093708,15,10,15,37.8125,0.0,1910,0,6591,0,0
68,16953,0,24.1302,55.8023,23584,0,346.8235294117647,0.0,1.0,2,1617292711,5,16,28,584.5862068965517,0.0,56871,0,4172,150616326,1
16,476,0,25.2048,55.2708,14119,13919,882.4375,869.9375,0.125,62,1617295021,47,11,26,63.96296296296296,0.27,2415,0,11773,115461446,1
34,1494,0,25.2048,55.2708,6210,384,182.64705882352945,11.294117647058824,0.9705882352941176,24,1617284329,1,12,24,59.76,0.0,1494,0,2075,0,0
65,7336,0,25.2048,55.2708,23262,0,357.87692307692305,0.0,1.0,2,1617276711,1,11,30,236.6451612903226,0.0,15379,0,0,15559668,1
8,939,0,24.1302,55.8023,3281,0,410.125,0.0,1.0,2,1617220986,81,11,29,31.3,0.0,8286,0,0,105277415,1
19,395,0,25.2048,55.2708,3747,0,197.21052631578948,0.0,1.0,11,1617218171,124,15,29,13.166666666666666,0.0,1069,0,75,0,0
14,1661,0,25.2048,55.2708,6137,0,438.3571428571428,0.0,1.0,5,1617247768,105,9,26,61.51851851851852,0.0,7999,0,6848,0,0
1,97,0,25.2048,55.2708,326,0,326.0,0.0,1.0,8,1616725250,7,2,0,97.0,0.0,872,0,654,0,0
21,3102,0,24.1302,55.8023,16788,2829,799.4285714285716,134.71428571428572,0.9523809523809524,41,1616992497,51,11,30,100.06451612903226,0.0,5536,0,2758,0,0
13,1624,0,24.4539,54.3773,11445,4086,880.3846153846154,314.3076923076923,0.7692307692307692,21,1617174713,113,14,29,54.13333333333333,0.0,7333,0,7424,0,0
10,2341,0,24.4539,54.3773,2343,0,234.3,0.0,1.0,2,1616764148,118,15,27,83.60714285714286,0.0,16282,0,10069,227653897,1
5,601,0,24.4539,54.3773,1950,0,390.0,0.0,1.0,3,1616088912,45,15,19,30.05,0.0,2922,0,3420,0,0
5,310,0,24.4539,54.3773,780,356,156.0,71.2,0.8,4,1617272558,76,11,29,10.333333333333334,0.0,2665,0,1824,20419484,0
6,161,0,25.2048,55.2708,6367,6367,1061.1666666666667,1061.1666666666667,0.1666666666666666,8,1615772778,1,3,20,31.52380952380953,0.14,662,0,53921,0,0
4,408,0,25.2048,55.2708,250,0,62.5,0.0,1.0,2,1616989924,109,5,25,15.692307692307692,0.0,9179,0,0,75779113,1
135,8833,0,24.4539,54.3773,73156,18040,541.8962962962963,133.62962962962962,0.948148148148148,5,1617296117,768,13,30,284.93548387096774,0.0,30991,0,138584,339478326,1
12,1143,0,25.2048,55.2708,4922,0,410.16666666666674,0.0,1.0,4,1617220539,1,14,6,163.28571428571428,0.0,1143,0,3446,0,0
5,616,0,25.2048,55.2708,2058,1637,411.6,327.4,0.8,2,1617109419,1,18,9,71.3,0.0,1739,0,46440,0,0
2,295,0,25.2048,55.2708,824,0,412.0,0.0,1.0,8,1616885644,40,20,26,10.925925925925926,0.0,663,0,3784,0,0
196,35774,0,25.3463,55.4209,72597,0,370.3928571428572,0.0,1.0,6,1617299212,21,11,30,1154.0,0.0,77123,0,3695,180651590,1
14,965,0,25.2048,55.2708,6111,4667,436.5,333.35714285714283,0.7857142857142857,18,1617283312,46,14,28,33.275862068965516,0.0,6448,0,3224,151324435,1
9,274,0,25.3463,55.4209,623,0,69.22222222222223,0.0,1.0,4,1617295315,27,17,28,9.448275862068966,0.0,501,0,62,0,0
40,3594,0,25.2048,55.2708,15323,0,383.075,0.0,1.0,3,1617096959,33,17,29,119.8,0.0,16600,0,1454,531202088,1
2,328,0,25.2048,55.2708,1306,0,653.0,0.0,1.0,44,1617201797,44,15,28,11.310344827586206,0.0,2656,0,1217,0,0
7,680,0,24.4539,54.3773,392,0,56.0,0.0,1.0,2,1616676283,44,15,25,26.153846153846153,0.0,5414,0,0,13653874,1
18,857,0,25.2048,55.2708,20083,12225,1115.7222222222222,679.1666666666666,0.6666666666666666,53,1617267007,71,10,28,54.93103448275862,0.0,3417,0,3826,274559715,1
2,19,1,25.2048,55.2708,866,866,433.0,433.0,0.0,4,1616915772,1,8,2,46.333333333333336,0.0,139,0,708,0,0
9,2350,0,24.4539,54.3773,4254,2681,472.66666666666674,297.8888888888889,0.8888888888888888,3,1616507506,1,10,26,100.96296296296296,0.0,7040,0,22032,0,0
17,1504,0,24.1302,55.8023,11392,358,670.1176470588235,21.058823529411764,0.9411764705882352,3,1616942451,112,12,27,53.714285714285715,0.0,4200,0,1776,0,0
24,3388,0,25.2048,55.2708,17004,3365,708.5,140.20833333333334,0.9583333333333331,18,1617284079,345,9,24,135.52,0.0,20912,0,187582,47372840,0
32,3987,0,25.2048,55.2708,5429,0,169.65625,0.0,1.0,2,1617207762,20,14,27,142.39285714285714,0.0,28195,0,398,77294817,1
